product_id,product,product_description,unit_of_measure,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn,type_id
1,Brazilian - Organic,It's like Carnival in a cup. Clean and smooth.,12 oz,14.4,18.0,Y,N,N,1
2,Our Old Time Diner Blend,Out packed blend of beans that is reminiscent of the cup of coffee you used to get at a diner. ,12 oz,14.4,18.0,Y,N,N,2
3,Espresso Roast,Our house blend for a good espresso shot.,1 lb,11.8,14.75,Y,N,N,3
4,Primo Espresso Roast,Our primium single source of hand roasted beans.,1 lb,16.36,20.45,Y,N,N,3
5,Columbian Medium Roast,A smooth cup of coffee any time of day. ,1 lb,12.0,15.0,Y,N,N,4
6,Ethiopia,From the home of coffee.,1 lb,16.8,21.0,Y,N,N,4
7,Jamacian Coffee River,"Ya man, it will start your day off right.",1 lb,15.8,19.75,Y,N,N,5
8,Civet Cat,"The most expensive coffee in the world, the cats do all the work.",.5 lb,36.0,45.0,Y,N,N,5
9,Organic Decaf Blend,Our blend of hand picked organic beans that have been naturally decaffinated. ,1 lb,18.0,22.5,Y,N,N,1
10,Guatemalan Sustainably Grown,Green beans you can roast yourself. ,1 lb,8.0,10.0,Y,N,N,6
11,Lemon Grass,You will think you are Thailand as you sip your cuppa. ,.9 oz,7.16,8.95,Y,N,N,7
12,Peppermint,Cool and refreshing to help calm your nerves. ,.9 oz,7.16,8.95,Y,N,N,7
13,English Breakfast,The traditional cup to start your day.,.9 oz,7.16,8.95,Y,N,N,8
14,Earl Grey,A full leaf of Orange Pekoe blended with organic oil of bergamot.,.9 oz,7.16,8.95,Y,N,N,8
15,Serenity Green Tea,Mountain grown and harvested at the optimal time. ,1 oz,7.4,9.25,Y,N,N,9
16,Traditional Blend Chai,A traditional blend.,.9 oz,7.16,8.95,Y,N,N,10
17,Morning Sunrise Chai,Fair trade and organic and has a warm finish. ,.9 oz,7.6,9.5,Y,N,N,10
18,Spicy Eye Opener Chai,A spicier blend to awaken your taste buds.,.9 oz,8.76,10.95,Y,N,N,10
19,Dark chocolate,This drinking chocolate is smooth and creamy.,1 lb,5.12,6.4,Y,N,N,11
20,Sustainably Grown Organic,Certified organic containing the highest quality ingredients. ,1 lb,6.08,7.6,Y,N,N,12
21,Chili Mayan,"Fragrant with spices, this is the most flavourful drinking chocolate you will find.",1 lb,10.66,13.33,Y,N,N,11
22,Our Old Time Diner Blend Sm,An honest cup a coffee.,8 oz,0.4,2.0,Y,N,N,13
23,Our Old Time Diner Blend Rg,An honest cup a coffee.,16 oz,0.5,2.5,Y,N,N,13
